text_final,airline_sentiment,airline,tweet_created,negativereason
said,neutral,Virgin America,2015-02-24 11:35:52 -0800,
plus added commercial experience tacky,positive,Virgin America,2015-02-24 11:15:59 -0800,
not today must mean need take another trip !,neutral,Virgin America,2015-02-24 11:15:48 -0800,
really aggressive blast obnoxious entertainment guest face amp little recourse,negative,Virgin America,2015-02-24 11:15:36 -0800,Bad Flight
really big bad thing,negative,Virgin America,2015-02-24 11:14:45 -0800,Can't Tell
seriously would pay flight seat not playing really bad thing flying va,negative,Virgin America,2015-02-24 11:14:33 -0800,Can't Tell
yes nearly every time fly vx ear worm wont go away,positive,Virgin America,2015-02-24 11:13:57 -0800,
really missed prime opportunity men without hat parody,neutral,Virgin America,2015-02-24 11:12:29 -0800,
well notbut !,positive,Virgin America,2015-02-24 11:11:19 -0800,
amazing arrived hour early good,positive,Virgin America,2015-02-24 10:53:27 -0800,
know suicide second leading death among teen,neutral,Virgin America,2015-02-24 10:48:24 -0800,
lt pretty graphic much better minimal iconography,positive,Virgin America,2015-02-24 10:30:40 -0800,
great deal ! already thinking nd trip amp not even gone st trip yet ! p,positive,Virgin America,2015-02-24 10:30:06 -0800,
flying fabulous seductive sky ! take stress away travel,positive,Virgin America,2015-02-24 10:21:28 -0800,
thanks !,positive,Virgin America,2015-02-24 10:15:29 -0800,
sfopdx schedule still mia,negative,Virgin America,2015-02-24 10:01:50 -0800,Late Flight
excited first cross country flight lax mco heard nothing great thing virgin america daystogo,positive,Virgin America,2015-02-24 09:42:59 -0800,
flew nyc sfo last week could not fully sit seat due two large gentleman either side help !,negative,Virgin America,2015-02-24 09:39:46 -0800,Bad Flight
flying,positive,Virgin America,2015-02-24 09:15:00 -0800,
know would amazingly awesome ? bosfll please ! ! ! want fly,positive,Virgin America,2015-02-24 09:04:10 -0800,
first fare may three time carrier seat available select ? ? ?,negative,Virgin America,2015-02-24 08:55:56 -0800,Can't Tell
love graphic,positive,Virgin America,2015-02-24 08:49:01 -0800,
love hipster innovation feel good brand,positive,Virgin America,2015-02-24 08:30:15 -0800,
making bosgtlas non stop permanently anytime soon ?,neutral,Virgin America,2015-02-24 08:27:52 -0800,
guy messed seating reserved seating friend guy gave seat away want free internet,negative,Virgin America,2015-02-24 08:18:51 -0800,Customer Service Issue
status match program applied three week called emailed no response,negative,Virgin America,2015-02-24 07:49:15 -0800,Customer Service Issue
happened vegan food option ? ! least say site know not able eat anything next hr fail,negative,Virgin America,2015-02-24 07:11:37 -0800,Can't Tell
miss ? not worry together soon,neutral,Virgin America,2015-02-24 05:44:59 -0800,
amazing cannot get cold air vent vx noair worstflightever roasted sfotobos,negative,Virgin America,2015-02-24 05:05:28 -0800,Bad Flight
lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral,Virgin America,2015-02-23 23:34:30 -0800,
hi ! bked cool birthday trip cannot add elevate no entered middle name flight booking problem,negative,Virgin America,2015-02-23 22:52:29 -0800,Flight Booking Problems
hour operation club sfo posted online current ?,neutral,Virgin America,2015-02-23 21:35:43 -0800,
help left expensive headphone flight iad lax today seat no one answering lampf number lax !,negative,Virgin America,2015-02-23 21:10:41 -0800,Customer Service Issue
awaiting return phone call would prefer use online selfservice option,negative,Virgin America,2015-02-23 20:55:30 -0800,Customer Service Issue
great news ! america could start flight hawaii end year via,positive,Virgin America,2015-02-23 20:24:33 -0800,
nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,neutral,Virgin America,2015-02-23 18:46:00 -0800,
moodlighting way fly ! best experience ever ! cool calming moodlitmonday,positive,Virgin America,2015-02-23 18:43:35 -0800,
done done ! best airline around hand !,positive,Virgin America,2015-02-23 18:19:47 -0800,
book flight hawaii ? ?,neutral,Virgin America,2015-02-23 17:54:09 -0800,
chat support not working site,negative,Virgin America,2015-02-23 17:41:58 -0800,Customer Service Issue
view downtown los angeles hollywood sign beyond rain mountain !,positive,Virgin America,2015-02-23 17:32:54 -0800,
hey first time flyer next week excited ! hard time getting flight added elevate account help ?,negative,Virgin America,2015-02-23 17:00:40 -0800,Flight Booking Problems
plz help win bid upgrade flight laxgtsea ! ! !,neutral,Virgin America,2015-02-23 16:24:11 -0800,
unused ticket moved new city not fly fly expires ? travelhelp,neutral,Virgin America,2015-02-23 16:20:38 -0800,
flight leaving dallas seattle time feb ?,neutral,Virgin America,2015-02-23 16:13:09 -0800,
elevategold good reason rock ! !,positive,Virgin America,2015-02-23 16:08:07 -0800,
dream,neutral,Virgin America,2015-02-23 16:04:28 -0800,
wow blew mind,positive,Virgin America,2015-02-23 16:01:25 -0800,
last night tribute soundofmusic oscar ! think agree,neutral,Virgin America,2015-02-23 16:01:17 -0800,
entertaining,neutral,Virgin America,2015-02-23 15:58:00 -0800,
flight way ? supposed take minute ago website still show time not flight thanks,neutral,Virgin America,2015-02-23 15:55:18 -0800,
julie andrew way though impressive ! no,positive,Virgin America,2015-02-23 15:46:46 -0800,
wish flew atlanta soon ?,neutral,Virgin America,2015-02-23 15:36:51 -0800,
julie andrew hand,neutral,Virgin America,2015-02-23 15:24:09 -0800,
flight leaving dallas la february th ?,neutral,Virgin America,2015-02-23 15:19:41 -0800,
hi ! excited lgagtdal deal trying book since last week amp page never load thanks !,negative,Virgin America,2015-02-23 15:05:09 -0800,Flight Booking Problems
know need spotify stat guiltypleasures,positive,Virgin America,2015-02-23 15:04:29 -0800,
lady gaga ! ! ! amazing !,positive,Virgin America,2015-02-23 14:40:33 -0800,
carrie !,neutral,Virgin America,2015-02-23 14:40:19 -0800,
new marketing song ? let u know think ?,neutral,Virgin America,2015-02-23 14:37:42 -0800,
julie andrew first lady gaga wowd last night carrie ? meh,neutral,Virgin America,2015-02-23 14:36:58 -0800,
called week ago adding flight elevatethey still not shown uphelp !,negative,Virgin America,2015-02-23 14:35:50 -0800,Customer Service Issue
great go carrieunderwood,neutral,Virgin America,2015-02-23 14:30:13 -0800,
sorry mary martin first !,neutral,Virgin America,2015-02-23 14:26:53 -0800,
love three really cannot beat classic !,positive,Virgin America,2015-02-23 14:25:09 -0800,
flight dal dca pm tried check could not status please,neutral,Virgin America,2015-02-23 14:09:06 -0800,
heyyy guyyys trying get hour someone call please ?,negative,Virgin America,2015-02-23 13:46:30 -0800,Customer Service Issue
hi virgin ! hold minute earlier flight la nyc tonight earlier pm ?,negative,Virgin America,2015-02-23 13:35:23 -0800,Late Flight
congrats winning award best deal airline u,positive,Virgin America,2015-02-23 13:30:10 -0800,
everything fine lost bag,negative,Virgin America,2015-02-23 13:08:21 -0800,Lost Luggage
need change reservation virgin credit card need modify phone waive change fee ? online ?,neutral,Virgin America,2015-02-23 12:47:52 -0800,
emailed customer service team let know need tracking number,neutral,Virgin America,2015-02-23 12:00:17 -0800,
hi booked flight need add baggage ?,neutral,Virgin America,2015-02-23 11:56:37 -0800,
airline awesome lax loft need step game dirty table floor ?,negative,Virgin America,2015-02-23 11:46:16 -0800,Flight Attendant Complaints
not worried great ride new plane great crew airline like,positive,Virgin America,2015-02-23 11:32:31 -0800,
awesome flew sat morning way correct bill ?,positive,Virgin America,2015-02-23 11:28:46 -0800,
watch best student film country foot ! cmfatfeet,neutral,Virgin America,2015-02-23 11:24:18 -0800,
first time flying different ratepolicy medium bag ? thanks,neutral,Virgin America,2015-02-23 11:22:16 -0800,
going customer service ? anyway speak human soon possible ? thank,negative,Virgin America,2015-02-23 11:02:02 -0800,Customer Service Issue
happened doom ? !,neutral,Virgin America,2015-02-23 10:58:43 -0800,
cannot supp biz traveler like customer service like neverflyvirginforbusiness,negative,Virgin America,2015-02-23 10:56:25 -0800,Customer Service Issue
applied member inflight crew teami interested flightattendant dreampath g,positive,Virgin America,2015-02-23 10:56:16 -0800,
best ! ! whenever begrudgingly use airline delayed late flight,negative,Virgin America,2015-02-23 10:54:47 -0800,Late Flight
no interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness,negative,Virgin America,2015-02-23 10:54:36 -0800,Can't Tell
disappointing experience shared every business traveler meet neverflyvirgin,negative,Virgin America,2015-02-23 10:38:14 -0800,Can't Tell
im trouble adding flight wife booked elevate account help ?,negative,Virgin America,2015-02-23 10:29:19 -0800,Flight Booking Problems
cannot bring reservation online using flight booking problem code,neutral,Virgin America,2015-02-23 10:15:00 -0800,
random q distribution elevate avatar ? bet kitty disproportionate share,neutral,Virgin America,2015-02-23 10:09:30 -0800,
lt flying va life happens trying change trip jperhi helpva home page not let ?,neutral,Virgin America,2015-02-23 10:04:47 -0800,
site ? back ?,negative,Virgin America,2015-02-23 09:57:42 -0800,Can't Tell
rnp ? yeah know !,neutral,Virgin America,2015-02-23 09:45:23 -0800,
hi not get point elevate account recent flight add flight point account ?,neutral,Virgin America,2015-02-23 09:35:03 -0800,
like tv interesting video disappointed cancelled flightled flight flight went jfk saturday,negative,Virgin America,2015-02-23 09:29:00 -0800,Cancelled Flight
landed lax hour no late flight bag check not business travel friendly nomorevirgin,negative,Virgin America,2015-02-23 09:28:26 -0800,Late Flight
flight redirected ?,neutral,Virgin America,2015-02-23 09:26:37 -0800,
website ? way new website not great user experience time another redesign,negative,Virgin America,2015-02-23 09:25:41 -0800,Customer Service Issue
cannot check add bag website not working tried desktop mobile,negative,Virgin America,2015-02-23 09:18:42 -0800,Customer Service Issue
let scanned passenger leave plane told someone remove bag st class bin ? uncomfortable,negative,Virgin America,2015-02-23 09:11:12 -0800,Can't Tell
phone number cannot find call flight reservation,negative,Virgin America,2015-02-23 08:29:21 -0800,Flight Booking Problems
anyone anything today ? website useless no one answering phone,negative,Virgin America,2015-02-23 08:19:59 -0800,Customer Service Issue
trying add boy prince ressie sf thursday lax,neutral,Virgin America,2015-02-23 08:19:49 -0800,
must traveler miss flight late flight check bag ? missed morning appointment lost business sfolax,negative,Virgin America,2015-02-23 08:11:03 -0800,Late Flight
check new music,neutral,Virgin America,2015-02-23 08:08:08 -0800,
direct flight fllgtsfo unexpected layover vega fuel yet peep next bought vega flight sneaky,negative,Virgin America,2015-02-23 08:08:01 -0800,Late Flight
no late flight bag check lost business missed flight apt three people flight exp,negative,Virgin America,2015-02-23 07:51:37 -0800,Late Flight
amazing customer service ! raeann sf best ! customerservice flying,positive,Virgin America,2015-02-23 07:50:35 -0800,
called service line hung awesome sarcasm,negative,Virgin America,2015-02-23 07:40:39 -0800,Customer Service Issue
site tripping trying check getting plain text version reluctant enter card info,negative,Virgin America,2015-02-23 07:40:05 -0800,Flight Booking Problems
scheduled sfo dal flight today changed th due weather look like flight still ?,neutral,Virgin America,2015-02-23 07:28:43 -0800,
getaway deal may oneway lot cool city cheapflights farecompare,positive,Virgin America,2015-02-23 06:57:25 -0800,
great week,positive,Virgin America,2015-02-23 06:51:01 -0800,
come back phl already need take u horrible cold pleasecomeback,positive,Virgin America,2015-02-23 06:07:54 -0800,
concerned fly plane need delayed due tech stop ?,negative,Virgin America,2015-02-23 05:15:06 -0800,Late Flight
best airline flown oneasy change reservationhelpful representative amp comfortable flying experience,positive,Virgin America,2015-02-23 03:01:39 -0800,
! another rep kicked butt ! naelah represents team beautifully ! ! thank ! ! !,positive,Virgin America,2015-02-23 00:35:42 -0800,
beautiful frontend design right cool still book ticket bc backend secure,positive,Virgin America,2015-02-23 00:21:40 -0800,
love team running gate e la tonight waited delayed flight kept thing entertaining,positive,Virgin America,2015-02-23 00:06:55 -0800,
use another browser ! amp brand reputation built tech response not crossbrowser compatible website ?,negative,Virgin America,2015-02-22 22:39:18 -0800,Customer Service Issue
flight flight booking problem site totally folk problem ?,negative,Virgin America,2015-02-22 22:11:07 -0800,Flight Booking Problems
